latitude,longitude,population
17.907083597704982,83.443748946225,3.249276
17.906250264374982,83.441248946235,43.514782
17.906250264374982,83.442082279565,40.971222
17.906250264374982,83.442915612895,27.835066
17.906250264374982,83.443748946225,8.694008
17.906250264374982,83.44458227955501,0.43909
17.905416931044982,83.438748946245,45.8849
17.905416931044982,83.439582279575,49.334
17.905416931044982,83.440415612905,51.613853
17.905416931044982,83.441248946235,49.452854
17.905416931044982,83.442082279565,47.519012
17.905416931044982,83.442915612895,36.674423
17.905416931044982,83.443748946225,16.698187
17.905416931044982,83.44458227955501,1.053821
17.904583597714982,83.436248946255,31.720186
17.904583597714982,83.437082279585,41.194897
17.904583597714982,83.437915612915,42.58715
17.904583597714982,83.438748946245,46.759083
17.904583597714982,83.439582279575,51.140694
17.904583597714982,83.440415612905,50.129227
17.904583597714982,83.441248946235,48.132282
17.904583597714982,83.442082279565,44.23639
17.904583597714982,83.442915612895,38.64133
17.904583597714982,83.443748946225,24.903618
17.903750264384982,83.433748946265,10.006763
17.903750264384982,83.434582279595,4.958714
17.903750264384982,83.435415612925,14.167147
17.903750264384982,83.436248946255,24.401104
17.903750264384982,83.437082279585,30.63959
17.903750264384982,83.437915612915,36.83573
17.903750264384982,83.438748946245,39.259155
17.903750264384982,83.439582279575,43.773342
17.903750264384982,83.440415612905,47.227577
17.903750264384982,83.441248946235,42.513317
17.903750264384982,83.442082279565,32.72869
17.903750264384982,83.442915612895,30.199848
17.903750264384982,83.443748946225,32.400158
17.902916931054982,83.432082279605,7.554043
17.902916931054982,83.432915612935,9.274112
17.902916931054982,83.433748946265,7.010845
17.902916931054982,83.434582279595,2.250577
17.902916931054982,83.435415612925,3.964941
17.902916931054982,83.436248946255,6.590476
17.902916931054982,83.437082279585,16.155083
17.902916931054982,83.437915612915,27.537998
17.902916931054982,83.438748946245,30.576223
17.902916931054982,83.439582279575,33.087223
17.902916931054982,83.440415612905,41.146526
17.902916931054982,83.441248946235,40.7295
17.902916931054982,83.442082279565,32.456768
17.902916931054982,83.442915612895,30.821571
17.902916931054982,83.443748946225,38.302784
17.90208359772498,83.429582279615,0.245716
17.90208359772498,83.430415612945,0.361812
17.90208359772498,83.431248946275,0.379795
17.90208359772498,83.432082279605,5.037675
17.90208359772498,83.432915612935,9.127103
17.90208359772498,83.433748946265,7.028636
17.90208359772498,83.434582279595,0.439926
17.90208359772498,83.435415612925,0.097158
17.90208359772498,83.436248946255,0.717872
17.90208359772498,83.437082279585,2.195591
17.90208359772498,83.437915612915,16.81133
